Year,Source,URL,Letters,Words,Sentences,Paragraphs
2014,boliviaemprende,https://boliviaemprende.com/noticias/fantasy-park-reune-mas-de-1-000-atracciones-en-nueve-niveles,2045,435,16,9
2014,la-razon,https://www.la-razon.com/politico/2014/01/26/relaciones-entre-bolivia-y-alemania/,5553,1058,35,12
2014,boliviaemprende,https://boliviaemprende.com/noticias/challapata-concentra-el-80-del-mercado-de-quinua,2478,495,16,11
2014,eju,https://eju.tv/2014/11/municipios-de-bolivia-encabezarn-la-pelea-por-el-pacto-fiscal/,2394,501,15,11
2014,eju,https://eju.tv/2014/06/cooperativistas-mineros-aliados-de-evo-rehyen-pago-de-millonaria-deuda-al-estado/,1741,372,10,7
2014,opinion,https://www.opinion.com.bo/articulo/cochabamba/pandilla-usa-facebook-crecer-cochabamba-mata-rivales/20140406211600485114.html,4943,1067,73,20
2014,boliviaemprende,https://boliviaemprende.com/noticias/unas-5-mil-familias-de-productores-se-asocian-como-estrategia-para-exportar,1799,358,13,8
2014,ultimahora,https://www.ultimahora.com/revelaran-hoy-el-informe-contaminacion-del-pilcomayo-n811790,2108,445,19,8
2014,es-us,https://es-us.noticias.yahoo.com/militares-bolivia-pausa-protestas-urgen-cita-morales-000842328.html,2920,586,20,7
2014,la-razon,https://www.la-razon.com/politico/2014/01/12/zulma-yugar-parraga-alistando-su-segundo-libro-2/,2665,564,25,11
2014,eju,https://eju.tv/2014/02/suben-a-33-700-las-familias-afectadas-por-lluvias-y-riadas-en-bolivia/,1736,363,12,11
2014,la-razon,https://www.la-razon.com/politico/2014/03/02/la-historia-de-la-guerra-del-pacifico-plagada-de-mitos/,10565,2267,87,39
2014,la-razon,https://www.la-razon.com/lr-article/en-bolivia-el-negocio-de-la-belleza-crece-y-mueve-sumas-millonarias/,4282,918,39,18
2014,boliviaemprende,https://boliviaemprende.com/noticias/dan-curso-proyecto-para-potenciar-la-ganaderia-en-la-chiquitania,3578,718,21,16
2014,pub,https://www.pub.eldiario.net/noticias/2014/2014_02/nt140216/laguia.php?n=18&-las-mas-lindas-de-la-tv-son,3888,907,45,10
2014,eju,https://eju.tv/2014/07/en-bolivia-se-construyen-16-dobles-vas-con-una-inversin-de-us-1-850-mm/,6253,1206,44,29
2014,boliviaemprende,https://boliviaemprende.com/eventos/el-80-de-las-pymes-de-bolivia-participaran-en-la-expocruz,1499,288,9,8
2014,eju,https://eju.tv/2014/01/el-robo-de-ganado-hace-estragos-en-bolivia/,4077,893,34,16
2014,eju,https://eju.tv/2014/01/restaurantes-y-sper-generaron-us-765-millones-en-bolivia/,7488,1515,56,31
2014,eju,https://eju.tv/2014/06/nuevo-cdigo-de-comercio-de-Bolivia-prev-reconocer-solo-3-tipos-de-sociedad/,7294,1371,47,32
2014,la-razon,https://www.la-razon.com/politico/2014/11/09/bolivia-es-un-pais-enclaustrado-no-mediterraneo/,10918,2276,55,30
